,instance_name,num_agents,planner,single_agent_planner,trail,success,n_collision,time,path_length,mean_acc,mean_jerk,mean_geo,expansions,dynamic,diffusion_step,constraint,trail_path
19,DropRegion,9,CBS,KCBSLower,3,0,1,30.23438811302185,3.0992000102996826,0.018168937725325424,0.024380176845524047,0.0019813625452419124,11,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___9/planner___CBS/single_agent_planner___KCBSLower/3
20,DropRegion,9,CBS,KCBSLower,2,1,0,35.12685179710388,2.9671998818715415,0.01730473070508904,0.023684988936616316,0.001913963325528635,15,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___9/planner___CBS/single_agent_planner___KCBSLower/2
21,DropRegion,9,CBS,KCBSLower,5,1,0,7.628292083740234,2.73600000805325,0.017041137855913904,0.023301203010810748,0.0018237053882330656,17,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___9/planner___CBS/single_agent_planner___KCBSLower/5
22,DropRegion,9,CBS,WAStar,0,0,1,2.2878451347351074,2.133333298895094,0.02323745760238833,0.02642889227718115,0.0028240736444584197,24,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___9/planner___CBS/single_agent_planner___WAStar/0
23,DropRegion,9,ECBS,WAStar,0,0,1,2.0160071849823,2.1999999549653797,0.02325025749289327,0.02743611867643065,0.00311111070914194,9,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___9/planner___ECBS/single_agent_planner___WAStar/0
24,DropRegion,8,CBS,KCBSLower,9,1,0,35.44144296646118,2.6459998786449432,0.01815909252036363,0.02539196121506393,0.0018399404361844063,23,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___8/planner___CBS/single_agent_planner___KCBSLower/9
25,DropRegion,8,CBS,KCBSLower,0,0,2,31.760254859924316,2.7603001296520233,0.014295629342086613,0.01937898527830839,0.0015426975223817863,12,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___8/planner___CBS/single_agent_planner___KCBSLower/0
26,DropRegion,8,CBS,KCBSLower,7,0,2,0.7792539596557617,2.5163999646902084,0.016849303850904107,0.022861392586492002,0.001839500415371731,3,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___8/planner___CBS/single_agent_planner___KCBSLower/7
27,DropRegion,8,CBS,KCBSLower,6,1,0,1.6660547256469727,2.3076000064611435,0.015486285905353725,0.02026647364255041,0.0014044038252905011,6,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___8/planner___CBS/single_agent_planner___KCBSLower/6
28,DropRegion,8,CBS,KCBSLower,1,1,0,6.232927083969116,2.6594999730587006,0.018258635187521577,0.02436920825857669,0.001909825783513952,16,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___8/planner___CBS/single_agent_planner___KCBSLower/1
